PLAYER,TEAM,SEASON,MIN,GP,FG3_PCT,rTS,PTS,FG2A,FG3A,FGA,FTA,OREB,DREB,AST,PF,STL,TOV,BLK,x,BOX_CREATION,OFF_LOAD,cTOV
Adrian Autry,FOR,2000-01,244,10,0.381,7.9,20.92526690391459,8.5080755543389,4.8289077470572135,13.336983301396112,7.818231590473584,1.6096359156857378,4.598959759102108,3.2192718313714757,6.668491650698056,2.9893238434163703,5.748699698877635,0,0.3749559437449417,2.9945420090843027,27.081256310106006,21.227596065151427
Alain Digbeu,FCB,2000-01,169,9,0.219,-6,18.177150192554556,6.161745827984596,9.858793324775352,16.020539152759948,6.161745827984596,1.232349165596919,6.7779204107830555,2.1566110397946083,7.394094993581515,1.540436456996149,4.929396662387676,0.6161745827984595,0.21897710019075647,1.573260798503381,26.403443730236717,18.669521721299656
Alan Tomidy,TRE,2000-01,125,10,0.25,1.7999999999999998,24.6203037569944,14.772182254196641,1.7905675459632295,16.56274980015987,12.086330935251798,7.162270183852918,6.71462829736211,0,9.848121502797762,2.2382094324540365,5.371702637889688,1.7905675459632295,0.17849842260862636,1.3011042009769493,28.182727553258868,19.06026529099572
Alberto Angulo,RMB,2000-01,179,10,0.5,-0.3,21.321388577827545,16.61814109742441,2.5083986562150056,19.126539753639417,1.2541993281075028,0.940649496080627,4.703247480403135,0.6270996640537514,3.1354983202687565,4.389697648376258,2.821948488241881,0.3135498320268757,0.42472850364773973,0.6573518989328173,23.440667302025876,12.03868666314799
Alberto Herreros,RMB,2000-01,233,10,0.444,8.5,29.570692615912996,10.578133943903834,8.654836863194047,19.23297080709788,9.61648540354894,2.163709215798512,4.567830566685747,3.6061820263308526,4.567830566685747,3.1253577561534063,3.1253577561534063,0.48082427017744706,0.4438452647035579,4.6626633134781805,32.62802292969786,9.578753094808945
Aleksandar Simic,FRA,2000-01,22,2,0,-4.5,15.54356206630686,10.36237471087124,5.18118735543562,15.54356206630686,0,0,5.18118735543562,2.59059367771781,2.59059367771781,2.59059367771781,7.77178103315343,0,0,1.5425031611410946,26.36117811796453,29.481918442245725
Aleksey Savrasenko,PER,2000-01,265,10,0,6.4,17.945334590009427,11.400565504241284,0,11.400565504241284,7.600377002827522,6.755890669180019,7.178133836003771,1.2667295004712535,5.700282752120642,1.4778510838831291,5.27803958529689,1.6889726672950047,0,1.2896032045240342,21.89488438737041,24.106268349795045
Alessandro Abbio,VIR,2000-01,186,7,0.409,4.7,20.8096221165066,8.14289561080693,6.634951979176017,14.777847589982947,6.333363252849834,1.2063549053047302,5.428597073871287,1.8095323579570952,5.73018580019747,3.3174759895880084,3.0158872632618254,0,0.4079268507202681,1.5324614939838996,23.033273921165005,13.093610893458624
Alessandro De Pol,FOR,2000-01,110,8,0.111,-15,14.788283502807708,9.178934587949612,4.589467293974806,13.768401881924419,11.218697829716193,2.5497040522082255,4.589467293974806,1.0198816208832902,6.629230535741386,1.5298224313249351,4.589467293974806,0,0.10876754234060852,0.7461796960583005,24.592525919318504,18.662041097492875
Alessandro Frosini,VIR,2000-01,107,5,0,3.8,20.892274211099018,17.23612622415669,0,17.23612622415669,1.5669205658324263,6.267682263329705,7.312295973884655,1.044613710554951,5.74537540805223,2.089227421109902,5.2230685527747545,2.6115342763873772,0,1.528899020674646,25.025262908596297,20.87118353901731
Alexis Papadatos,PER,2000-01,82,8,0.474,4.5,23.999999999999996,5.485714285714285,13.028571428571427,18.514285714285712,4.114285714285714,0.6857142857142856,6.171428571428571,4.114285714285714,8.914285714285713,2.7428571428571424,6.171428571428571,0,0.4739979175685944,4.82092508818752,33.02867572376836,18.685062104949722
Alfonso Reyes,EST,2000-01,232,10,0,11.700000000000001,34.731175077166036,21.224606991601465,0,21.224606991601465,11.33586964324169,4.100208168832101,9.888737348359772,0.9647548632546121,7.718038906036897,0.7235661474409589,3.3766420213911417,0.24118871581365303,0,2.6762517981480154,32.22611783913574,10.477967089447281
Alphonso Ford,PER,2000-01,339,10,0.303,8.4,41.15702479338843,23.47107438016529,5.454545454545455,28.925619834710748,8.595041322314051,2.148760330578513,4.132231404958678,4.462809917355373,4.462809917355373,1.9834710743801656,4.62809917355372,0.4958677685950414,0.3004192841265425,6.945872413636804,45.6489434038495,10.138458479990668
Amit Tamir,JER,2000-01,110,8,0,1.9,18.97233201581028,13.280632411067195,0,13.280632411067195,8.063241106719369,4.2687747035573125,3.7944664031620556,0.9486166007905139,6.640316205533598,0.47430830039525695,5.217391304347826,0.47430830039525695,0,1.3246142292490126,23.70441142687747,22.01021240473424
Andrea Camata,VER,2000-01,196,9,0,13.4,22.33890214797136,15.178997613365157,0,15.178997613365157,2.863961813842482,6.300715990453461,12.88782816229117,1.1455847255369926,10.023866348448687,4.009546539379476,2.2911694510739853,0.8591885441527446,0,1.4035852028639617,20.59306222673031,11.125928848503113
